customer_id,merchant_id,external_customer_id,segment,success_rate,avg_value,preferred_method
0,0,cust_00000000,NEW,0.7752,750.46,WALLET
1,1,cust_00000001,PREMIUM,0.8439,3225.39,CARD
2,2,cust_00000002,CHURN_RISK,0.2475,1186.01,UPI
3,3,cust_00000003,NEW,0.4558,1354.64,CARD
4,4,cust_00000004,NEW,0.5711,1374.08,WALLET
5,0,cust_00000005,PREMIUM,0.8072,20095.75,WALLET
6,1,cust_00000006,REGULAR,0.8322,2602.59,NETBANKING
7,2,cust_00000007,REGULAR,0.8476,1601.89,NETBANKING
8,3,cust_00000008,CHURN_RISK,0.2,485.16,CARD
9,4,cust_00000009,REGULAR,0.7291,4470.26,WALLET
10,0,cust_00000010,NEW,0.609,2524.21,UPI
11,1,cust_00000011,REGULAR,0.6196,3955.76,CARD
12,2,cust_00000012,REGULAR,0.629,874.03,UPI
13,3,cust_00000013,REGULAR,0.8243,7599.44,NETBANKING
14,4,cust_00000014,PREMIUM,0.8472,14387.69,UPI
15,0,cust_00000015,NEW,0.701,2784.85,NETBANKING
16,1,cust_00000016,REGULAR,0.6446,3117.03,WALLET
17,2,cust_00000017,NEW,0.6555,1076.72,CARD
18,3,cust_00000018,REGULAR,0.8983,1881.5,NETBANKING
19,4,cust_00000019,CHURN_RISK,0.2,2992.13,CARD
20,0,cust_00000020,NEW,0.7701,4348.86,WALLET
21,1,cust_00000021,NEW,0.7346,377.39,UPI
22,2,cust_00000022,REGULAR,0.7838,2335.7,CARD
23,3,cust_00000023,REGULAR,0.904,5560.29,CARD
24,4,cust_00000024,PREMIUM,0.9188,13322.04,UPI
25,0,cust_00000025,REGULAR,0.7886,1480.36,UPI
26,1,cust_00000026,NEW,0.8685,3185.99,WALLET
27,2,cust_00000027,NEW,0.5844,3597.24,NETBANKING
28,3,cust_00000028,CHURN_RISK,0.5182,1606.96,CARD
29,4,cust_00000029,REGULAR,0.9506,1699.71,CARD
30,0,cust_00000030,REGULAR,0.707,1536.5,CARD
31,1,cust_00000031,REGULAR,0.915,2770.76,UPI
32,2,cust_00000032,REGULAR,0.6558,2379.25,NETBANKING
33,3,cust_00000033,PREMIUM,0.9263,14329.92,CARD
34,4,cust_00000034,REGULAR,0.8675,3635.77,WALLET
35,0,cust_00000035,REGULAR,0.7948,1374.57,UPI
36,1,cust_00000036,NEW,0.7234,7150.04,CARD
