payment_id,merchant_id,customer_id,external_payment_id,amount,currency,payment_method,status,failure_reason,attempt_number,created_at,hour,day_of_week,recent_method_failure_rate,merchant_success_rate,customer_success_rate,segment
0,2,1267,pay_000000000,1796.03,INR,WALLET,CAPTURED,,1,2026-05-01 00:00:00,0,4,0.2,0.88,0.4687,CHURN_RISK
1,1,2046,pay_000000001,1397.65,INR,CARD,CAPTURED,,1,2026-05-01 00:02:00,0,4,0.12,0.9,0.9023,REGULAR
2,2,2197,pay_000000002,2953.5,INR,NETBANKING,FAILED,TEMPORARY_BANK_FAILURE,1,2026-05-01 00:02:00,0,4,0.16,0.88,0.9805,PREMIUM
3,4,2429,pay_000000003,2223.0,INR,WALLET,CAPTURED,,1,2026-05-01 00:02:00,0,4,0.2,0.91,0.8577,REGULAR
4,3,1078,pay_000000004,526.37,INR,WALLET,CAPTURED,,1,2026-05-01 00:03:00,0,4,0.2,0.95,0.6609,CHURN_RISK
5,3,1223,pay_000000005,9049.69,INR,WALLET,FAILED,NETWORK_FAILURE,1,2026-05-01 00:06:00,0,4,0.2,0.95,0.9463,REGULAR
6,2,2252,pay_000000006,1735.89,INR,UPI,CAPTURED,,1,2026-05-01 00:14:00,0,4,0.08,0.88,0.8886,REGULAR
7,4,319,pay_000000007,2387.9,INR,NETBANKING,CAPTURED,,1,2026-05-01 00:16:00,0,4,0.16,0.91,0.9199,REGULAR
8,3,2273,pay_000000008,1347.1,INR,CARD,CAPTURED,,1,2026-05-01 00:17:00,0,4,0.12,0.95,0.694,REGULAR
9,0,220,pay_000000009,1384.97,INR,WALLET,CAPTURED,,1,2026-05-01 00:17:00,0,4,0.2,0.93,0.4621,CHURN_RISK
10,2,227,pay_000000010,4013.65,INR,UPI,CAPTURED,,1,2026-05-01 00:17:00,0,4,0.08,0.88,0.9658,PREMIUM
11,3,113,pay_000000011,2114.89,INR,UPI,CAPTURED,,1,2026-05-01 00:18:00,0,4,0.08,0.95,0.7971,NEW
12,1,576,pay_000000012,4017.09,INR,WALLET,CAPTURED,,1,2026-05-01 00:19:00,0,4,0.2,0.9,0.813,REGULAR
13,1,2196,pay_000000013,1030.04,INR,CARD,CAPTURED,,1,2026-05-01 00:21:00,0,4,0.12,0.9,0.8736,NEW
14,3,518,pay_000000014,4889.79,INR,UPI,CAPTURED,,1,2026-05-01 00:22:00,0,4,0.08,0.95,0.8556,REGULAR
15,0,1105,pay_000000015,3070.61,INR,UPI,FAILED,PAYMENT_METHOD_ISSUE,1,2026-05-01 00:24:00,0,4,0.08,0.93,0.2848,CHURN_RISK
16,3,2013,pay_000000016,5281.22,INR,NETBANKING,CAPTURED,,1,2026-05-01 00:33:00,0,4,0.16,0.95,0.9123,REGULAR
17,0,2200,pay_000000017,1276.54,INR,NETBANKING,CAPTURED,,1,2026-05-01 00:37:00,0,4,0.16,0.93,0.6796,REGULAR
18,1,1096,pay_000000018,1461.39,INR,WALLET,CAPTURED,,1,2026-05-01 00:37:00,0,4,0.2,0.9,0.674,REGULAR
